2019,,,
Balances trimestrales de criminalidad - 2019. 4º Trimestre,,,
,,,
"Indicadores de seguridad 2019 - 4º Trimestre por geografía, tipología  penal y periodos.",,,
Unidades: ,,,
,,,
 ,Enero-diciembre 2018,Enero-diciembre 2019,Variación % 2019/2018
- Municipio de Alcalá de Henares,,,
    6.-Robos con violencia e intimidación,233,227,-2.6
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",416,377,-9.4
    7.1.-Robos con fuerza en domicilios,227,202,-11
    8.-Hurtos,2836,2739,-3.4
- Municipio de Alcobendas,,,
    6.-Robos con violencia e intimidación,119,152,27.7
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",300,387,29
    7.1.-Robos con fuerza en domicilios,155,215,38.7
    8.-Hurtos,1501,1343,-10.5
- Municipio de Alcorcón,,,
    6.-Robos con violencia e intimidación,229,259,13.1
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",302,253,-16.2
    7.1.-Robos con fuerza en domicilios,196,154,-21.4
    8.-Hurtos,2315,2281,-1.5
- Municipio de Aranjuez,,,
    6.-Robos con violencia e intimidación,35,34,-2.9
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",109,124,13.8
    7.1.-Robos con fuerza en domicilios,64,68,6.3
    8.-Hurtos,547,547,0
- Municipio de Arganda del Rey,,,
    6.-Robos con violencia e intimidación,115,185,60.9
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",167,141,-15.6
    7.1.-Robos con fuerza en domicilios,105,71,-32.4
    8.-Hurtos,681,1129,65.8
- Municipio de Arroyomolinos,,,
    6.-Robos con violencia e intimidación,26,32,23.1
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",99,90,-9.1
    7.1.-Robos con fuerza en domicilios,82,61,-25.6
    8.-Hurtos,1427,1621,13.6
- Municipio de Boadilla del Monte,,,
    6.-Robos con violencia e intimidación,21,11,-47.6
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",112,121,8
    7.1.-Robos con fuerza en domicilios,81,92,13.6
    8.-Hurtos,385,363,-5.7
- Municipio de Colmenar Viejo,,,
    6.-Robos con violencia e intimidación,56,59,5.4
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",154,118,-23.4
    7.1.-Robos con fuerza en domicilios,123,87,-29.3
    8.-Hurtos,471,443,-5.9
- Municipio de Collado Villalba,,,
    6.-Robos con violencia e intimidación,114,138,21.1
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",188,157,-16.5
    7.1.-Robos con fuerza en domicilios,136,112,-17.6
    8.-Hurtos,951,941,-1.1
- Municipio de Coslada,,,
    6.-Robos con violencia e intimidación,89,90,1.1
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",184,201,9.2
    7.1.-Robos con fuerza en domicilios,114,110,-3.5
    8.-Hurtos,917,901,-1.7
- Municipio de Fuenlabrada,,,
    6.-Robos con violencia e intimidación,285,305,7
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",395,251,-36.5
    7.1.-Robos con fuerza en domicilios,244,126,-48.4
    8.-Hurtos,2174,1863,-14.3
- Municipio de Galapagar,,,
    6.-Robos con violencia e intimidación,22,28,27.3
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",183,234,27.9
    7.1.-Robos con fuerza en domicilios,152,177,16.4
    8.-Hurtos,236,231,-2.1
- Municipio de Getafe,,,
    6.-Robos con violencia e intimidación,422,386,-8.5
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",406,392,-3.4
    7.1.-Robos con fuerza en domicilios,256,262,2.3
    8.-Hurtos,2554,2428,-4.9
- Municipio de Leganés,,,
    6.-Robos con violencia e intimidación,296,363,22.6
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",400,400,0
    7.1.-Robos con fuerza en domicilios,197,188,-4.6
    8.-Hurtos,4068,3667,-9.9
- Municipio de Madrid,,,
    6.-Robos con violencia e intimidación,9951,10939,9.9
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",9076,8797,-3.1
    7.1.-Robos con fuerza en domicilios,5451,5134,-5.8
    8.-Hurtos,109874,111748,1.7
- Municipio de Majadahonda,,,
    6.-Robos con violencia e intimidación,99,83,-16.2
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",299,389,30.1
    7.1.-Robos con fuerza en domicilios,236,301,27.5
    8.-Hurtos,1424,1425,0.1
- Municipio de Móstoles,,,
    6.-Robos con violencia e intimidación,314,383,22
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",407,377,-7.4
    7.1.-Robos con fuerza en domicilios,279,266,-4.7
    8.-Hurtos,2221,2102,-5.4
- Municipio de Parla,,,
    6.-Robos con violencia e intimidación,411,421,2.4
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",260,190,-26.9
    7.1.-Robos con fuerza en domicilios,134,91,-32.1
    8.-Hurtos,1694,1599,-5.6
- Municipio de Pinto,,,
    6.-Robos con violencia e intimidación,74,97,31.1
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",175,157,-10.3
    7.1.-Robos con fuerza en domicilios,118,105,-11
    8.-Hurtos,819,731,-10.7
- Municipio de Pozuelo de Alarcón,,,
    6.-Robos con violencia e intimidación,75,75,0
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",232,183,-21.1
    7.1.-Robos con fuerza en domicilios,166,126,-24.1
    8.-Hurtos,1042,1058,1.5
- Municipio de Rivas-Vaciamadrid,,,
    6.-Robos con violencia e intimidación,141,133,-5.7
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",268,353,31.7
    7.1.-Robos con fuerza en domicilios,218,255,17
    8.-Hurtos,1642,1814,10.5
- Municipio de Rozas de Madrid (Las),,,
    6.-Robos con violencia e intimidación,139,118,-15.1
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",448,380,-15.2
    7.1.-Robos con fuerza en domicilios,366,305,-16.7
    8.-Hurtos,1636,1529,-6.5
- Municipio de San Fernando de Henares,,,
    6.-Robos con violencia e intimidación,33,39,18.2
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",88,82,-6.8
    7.1.-Robos con fuerza en domicilios,56,39,-30.4
    8.-Hurtos,589,583,-1
- Municipio de San Sebastián de los Reyes,,,
    6.-Robos con violencia e intimidación,84,113,34.5
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",249,274,10
    7.1.-Robos con fuerza en domicilios,128,147,14.8
    8.-Hurtos,1787,1904,6.5
- Municipio de Torrejón de Ardoz,,,
    6.-Robos con violencia e intimidación,111,101,-9
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",191,232,21.5
    7.1.-Robos con fuerza en domicilios,113,110,-2.7
    8.-Hurtos,1298,1251,-3.6
- Municipio de Valdemoro,,,
    6.-Robos con violencia e intimidación,82,95,15.9
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",197,181,-8.1
    7.1.-Robos con fuerza en domicilios,126,104,-17.5
    8.-Hurtos,756,652,-13.8
- Municipio de Tres Cantos,,,
    6.-Robos con violencia e intimidación,50,26,-48
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",108,69,-36.1
    7.1.-Robos con fuerza en domicilios,88,56,-36.4
    8.-Hurtos,423,352,-16.8
,,,
,,,
Notas:,,,
"(*) Se computan datos provenientes de las Fuerzas y Cuerpos de  Seguridad del Estado, policías autonómicas y policías locales que  proporcionan datos al Sistema Estadístico de Criminalidad.            ",,,
                                  ,,,
 (**) Indicadores estadísticos de criminalidad utilizados por la  Oficina Estadística Europea (EUROSTAT).        ,,,
  ,,,
 (***) Los datos del año 2019 están pendientes de consolidar.,,,
,,,
Fuente: ,,,
Ministerio del Interior,,,
