"Balance de criminalidad. 2021 - 4º Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas",,,
,,,
"Indicadores de seguridad 2021 - 4º Trimestre por geografía, tipología  penal y periodos.",,,
Unidades: ,,,
,,,
 ,Enero-diciembre 2020,Enero-diciembre 2021,Variación % 2021/2020
-Municipio de Alcalá de Henares,,,
    6.-Robos con violencia e intimidación,150,232,54.7
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",294,376,27.9
    7.1.-Robos con fuerza en domicilios,138,161,16.7
    8.-Hurtos,1833,2483,35.5
-Municipio de Alcobendas,,,
    6.-Robos con violencia e intimidación,75,70,-6.7
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",159,208,30.8
    7.1.-Robos con fuerza en domicilios,83,145,74.7
    8.-Hurtos,933,1114,19.4
-Municipio de Alcorcón,,,
    6.-Robos con violencia e intimidación,203,245,20.7
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",220,248,12.7
    7.1.-Robos con fuerza en domicilios,112,148,32.1
    8.-Hurtos,1768,2135,20.8
-Municipio de Algete,,,
    6.-Robos con violencia e intimidación,6,8,33.3
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",21,33,57.1
    7.1.-Robos con fuerza en domicilios,11,21,90.9
    8.-Hurtos,96,132,37.5
-Municipio de Aranjuez,,,
    6.-Robos con violencia e intimidación,30,36,20
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",89,80,-10.1
    7.1.-Robos con fuerza en domicilios,59,49,-16.9
    8.-Hurtos,449,555,23.6
-Municipio de Arganda del Rey,,,
    6.-Robos con violencia e intimidación,51,48,-5.9
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",118,108,-8.5
    7.1.-Robos con fuerza en domicilios,48,52,8.3
    8.-Hurtos,364,413,13.5
-Municipio de Arroyomolinos,,,
    6.-Robos con violencia e intimidación,36,40,11.1
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",77,67,-13
    7.1.-Robos con fuerza en domicilios,49,53,8.2
    8.-Hurtos,1015,1314,29.5
-Municipio de Boadilla del Monte,,,
    6.-Robos con violencia e intimidación,32,20,-37.5
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",67,112,67.2
    7.1.-Robos con fuerza en domicilios,53,92,73.6
    8.-Hurtos,266,371,39.5
-Municipio de Ciempozuelos,,,
    6.-Robos con violencia e intimidación,38,32,-15.8
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",80,106,32.5
    7.1.-Robos con fuerza en domicilios,47,90,91.5
    8.-Hurtos,202,209,3.5
-Municipio de Colmenar Viejo,,,
    6.-Robos con violencia e intimidación,40,40,0
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",66,96,45.5
    7.1.-Robos con fuerza en domicilios,50,78,56
    8.-Hurtos,336,296,-11.9
-Municipio de Collado Villalba,,,
    6.-Robos con violencia e intimidación,44,72,63.6
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",110,129,17.3
    7.1.-Robos con fuerza en domicilios,65,85,30.8
    8.-Hurtos,506,596,17.8
-Municipio de Coslada,,,
    6.-Robos con violencia e intimidación,60,60,0
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",115,145,26.1
    7.1.-Robos con fuerza en domicilios,61,72,18
    8.-Hurtos,672,877,30.5
-Municipio de Fuenlabrada,,,
    6.-Robos con violencia e intimidación,186,235,26.3
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",246,265,7.7
    7.1.-Robos con fuerza en domicilios,131,154,17.6
    8.-Hurtos,1413,1696,20
-Municipio de Galapagar,,,
    6.-Robos con violencia e intimidación,26,25,-3.8
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",162,106,-34.6
    7.1.-Robos con fuerza en domicilios,144,91,-36.8
    8.-Hurtos,184,217,17.9
-Municipio de Getafe,,,
    6.-Robos con violencia e intimidación,287,360,25.4
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",273,226,-17.2
    7.1.-Robos con fuerza en domicilios,173,143,-17.3
    8.-Hurtos,1854,2413,30.2
-Municipio de Leganés,,,
    6.-Robos con violencia e intimidación,283,256,-9.5
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",307,298,-2.9
    7.1.-Robos con fuerza en domicilios,146,169,15.8
    8.-Hurtos,2767,2780,0.5
-Municipio de Madrid,,,
    6.-Robos con violencia e intimidación,7575,8609,13.7
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",5832,5904,1.2
    7.1.-Robos con fuerza en domicilios,2872,3837,33.6
    8.-Hurtos,63107,73259,16.1
-Municipio de Majadahonda,,,
    6.-Robos con violencia e intimidación,61,72,18
"    7.- Robos con fuerza en domicilios, establecimientos y otras instalaciones",169,174,3
