"Balance de criminalidad. 2023 - 4º Trimestre - Capitales de provincia, municipios mayores de 20.000 habitantes e islas",,
,,
"Indicadores de seguridad 2023 - 4º Trimestre por geografía, tipología  penal y periodos.",,
Unidades: ,,
,,
 ,enero-diciembre 2022,enero-diciembre 2023
-Municipio de Alcalá de Henares,,
    I. CRIMINALIDAD CONVENCIONAL,8108,7277
    6. Robos con violencia e intimidación,210,190
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",363,265
    7.1.-Robos con fuerza en domicilios,163,136
    8. Hurtos,2708,2347
-Municipio de Alcobendas,,
    I. CRIMINALIDAD CONVENCIONAL,4145,4029
    6. Robos con violencia e intimidación,94,81
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",186,209
    7.1.-Robos con fuerza en domicilios,111,136
    8. Hurtos,1241,1171
-Municipio de Alcorcón,,
    I. CRIMINALIDAD CONVENCIONAL,6202,5940
    6. Robos con violencia e intimidación,194,197
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",253,188
    7.1.-Robos con fuerza en domicilios,172,115
    8. Hurtos,2567,2512
-Municipio de Algete,,
    I. CRIMINALIDAD CONVENCIONAL,676,625
    6. Robos con violencia e intimidación,9,10
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",61,85
    7.1.-Robos con fuerza en domicilios,42,67
    8. Hurtos,163,138
-Municipio de Aranjuez,,
    I. CRIMINALIDAD CONVENCIONAL,2367,2221
    6. Robos con violencia e intimidación,41,46
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",93,121
    7.1.-Robos con fuerza en domicilios,63,76
    8. Hurtos,715,632
-Municipio de Arganda del Rey,,
    I. CRIMINALIDAD CONVENCIONAL,2547,2942
    6. Robos con violencia e intimidación,92,116
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",108,181
    7.1.-Robos con fuerza en domicilios,59,116
    8. Hurtos,755,973
-Municipio de Arroyomolinos,,
    I. CRIMINALIDAD CONVENCIONAL,2475,2339
    6. Robos con violencia e intimidación,36,30
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",68,91
    7.1.-Robos con fuerza en domicilios,58,73
    8. Hurtos,1276,1290
-Municipio de Boadilla del Monte,,
    I. CRIMINALIDAD CONVENCIONAL,1752,1502
    6. Robos con violencia e intimidación,26,20
"    7. Robos con fuerza en domicilios, establecimientos y otras instalaciones",150,169
    7.1.-Robos con fuerza en domicilios,143,139
    8. Hurtos,471,406
-Municipio de Ciempozuelos,,
    I. CRIMINALIDAD CONVENCIONAL,1216,1141
    6. Robos con violencia e intimidación,32,46
