"01. CENTRO. INFORMACIÓN DE DISTRITO Y BARRIOS","","","","","","","","","","","","","","","",""
" ","CIUDAD ","","CENTRO","","Palacio","","Embajadores","","Cortes","","Justicia","","Universidad","","Sol",""
"1.1 CARACTERÍSTICAS GENERALES DEL DISTRITO-BARRIO","","","","","","","","","","","","","","","",""
"Superficie (Ha.) ","","60,436.69","522.83","","146.99","","103.37","","59.19","","73.94","","94.80","","44.53",""
"Densidad (hab./Ha.) 01/01/2015","","52.38","253.71","","152.32","","434.78","","179.46","","222.07","","325.37","","166.67",""
"1.2. LA POBLACIÓN DEL DISTRITO","","","","","","","","","","","","","","","",""
"1.2.1. Estructura de la población (01-01-2016)","","","","","","","","","","","","","","","",""
"Población total","","3,165,883","","132,644","","22,390","","44,944","","10,622","","16,420","","30,846","","7,422"
"Edad media de la población","","43.87","","43.85","","45.25","","42.75","","44.70","","43.90","","44.05","","44.08"
"De 0 a 14 años","13.7%","432,709","8.4%","11,197","8.6%","1,932","9.0%","4,027","7.5%","795","8.9%","1,459","8.0%","2,467","7.0%","517"
"De 15 a 29","14.9%","471,947","15.4%","20,469","14.2%","3,188","15.6%","6,992","14.5%","1,541","15.3%","2,505","16.0%","4,936","17.6%","1,307"
"De 30 a 44","24.0%","758,829","32.5%","43,141","29.3%","6,564","34.8%","15,631","31.9%","3,393","31.7%","5,206","32.5%","10,028","31.2%","2,319"
"De 45 a 64","27.0%","854,738","27.2%","36,109","29.1%","6,516","25.9%","11,653","29.4%","3,123","27.5%","4,518","26.7%","8,244","27.7%","2,055"
"De 65 a 79","13.2%","417,792","10.3%","13,644","12.1%","2,704","9.0%","4,046","10.8%","1,144","10.5%","1,728","10.4%","3,207","11.0%","815"
"De 80 y + ","7.3%","229,868","6.1%","8,084","6.6%","1,486","5.8%","2,595","5.9%","626","6.1%","1,004","6.4%","1,964","5.5%","409"
"De 65 y +","20.5%","647,660","16.4%","21,728","18.7%","4,190","14.8%","6,641","16.7%","1,770","16.6%","2,732","16.8%","5,171","16.5%","1,224"
"Población en etapa educativa (De 3 a 16 años -16 no incluidos-)","11.7%","371,816","6.8%","9,077","7.2%","1,603","7.2%","3,232","6.0%","638","7.1%","1174","6.6%","2,028","5.4%","402"
"Proporción de juventud (Población de 0-15 años/Población total)","14.5%","","8.9%","","9.1%","","9.4%","","7.9%","","9.5%","","8.4%","","7.2%",""
"Proporción de envejecimiento (Población > 65 años/Población total)","20.5%","","16.4%","","18.7%","","14.8%","","16.7%","","16.6%","","16.8%","","16.5%",""
"Proporción de sobreenvejecimiento (Población > 80 años/Población >65 años)","35.5%","","37.2%","","35.5%","","39.1%","","35.4%","","36.8%","","38.0%","","33.4%",""
"Proporción de dependencia (Población de 0-15 + población 65 y + / Pob. 16-64) ","53.8%","","33.8%","","38.5%","","31.9%","","32.6%","","35.4%","","33.6%","","31.1%",""
"Personas con nacionalidad española","87.8%","2,779,947","78.8%","104,543","83.7%","18,736","75.3%","33,852","79.4%","8,439","81.5%","13,378","79.8%","24,606","74.5%","5,532"
"Personas con nacionalidad extranjera","12.2%","385,913","21.2%","28,098","16.3%","3,652","24.7%","11,091","20.6%","2,183","18.5%","3,042","20.2%","6,240","25.5%","1,890"
"Proporción de inmigrantes (Extranjeros menos UE y resto países de OCDE/Población total)","8.2%","","11.8%","","7.4%","","16.3%","","8.8%","","8.5%","","11.2%","","11.8%",""
"1ª Nacionalidad Extranjera en la Ciudad: RUMANIA (proporción respecto total extranjeros)","12.2%","47,124","3.3%","926","5.5%","201","2.5%","274","2.8%","61","3.2%","98","3.0%","187","5.6%","105"
"1ª Nacionalidad Extranjera en el Distrito: IRÁN (proporción respecto total extranjeros)","3.8%","14,837","9.1%","2,565","10.6%","387","7.8%","870","11.7%","255","9.3%","283","9.2%","577","10.2%","193"
"2ª Nacionalidad Extranjera en el Distrito: BANGLADESH (proporción respecto total extranjeros)","1.2%","4,590","9.0%","2,531","0.2%","9","22.2%","2461","1.5%","33","0.2%","6","0.2%","13","0.5%","9"
"1.2.2. Estructura de los hogares (01-01-2016)","","","","","","","","","","","","","","","",""
"Nº Total de Hogares","","1,254,513","","65,930","","11,128","","21,684","","5,368","","8,326","","15,664","","3,760"
"Tamaño Medio del hogar","","2.52  ��","","2.01","","2.01","","2.07","","1.98","","1.97","","1.97","","1.97"
"Hogares con una mujer sola >65 años","9.8%","123,420","8.0%","5,286","9.2%","1,023","7.8%","1,700","7.1%","383","7.7%","640","8.2%","1,287","6.7%","253"
"Hogares con un hombre solo >65 años","2.7%","34,344","3.2%","2,088","3.7%","409","2.9%","631","3.5%","189","3.0%","250","3.1%","485","3.3%","124"
"Hogares monoparentales: una mujer adulta con uno o más menores","2.1%","26,672","1.6%","1,031","1.8%","196","1.7%","358","1.4%","76","1.5%","128","1.4%","222","1.4%","51"
"Hogares monoparentales: un hombre adulto con uno o más menores","0.4%","5,523","0.3%","202","0.3%","30","0.3%","61","0.4%","19","0.4%","37","0.3%","47","0.2%","8"
"1.2.3. Dinámica demográfica","","","","","","","","","","","","","","","",""
"Tasa Bruta de natalidad 2015 (‰)","","9.4","","7.86","","7.18","","8.34","","7.30","","9.51","","7.28","","6.50"
"Tasa de crecimiento natural 2015 ‰ (Tasa Bruta de Natalidad - Tasa Bruta de Mortalidad) ","","0.6","","-0.72","","-4.04","","0.65","","0.57","","1.35","","-1.63","","-1.63"
"Esperanza de vida al nacer MUJERES 2009-2012","","85.9","","84.58","","82.46","","85.16","","83.60","","84.86","","86.34","","81.24"
"Esperanza de vida al nacer HOMBRES 2009-2012","","79.9","","77.66","","76.03","","78.32","","77.91","","77.20","","78.46","","76.54"
"Esperanza de vida > 65 años MUJERES 2013","","24.0","","23.5","","","","","","","","","","","",""
"Esperanza de vida > 65 años HOMBRES 2013","","19.6","","19.7","","","","","","","","","","","",""
"1.3. INDICADORES ECONÓMICOS ","","","","","","","","","","","","","","","",""
"Renta neta media anual de los hogares por barrios. Indicadores Urban Audit 2013. INE.","","36,093 €","","","","31,912.7 €","","23,918.0 €","","32,410.6 €","","36,413.5 €","","28,782.5 €","","27,377.5 €"
"Renta Disponible Bruta Per Cápita 2013 (1 Julio)","","20,639.1 €","","22,698.5 €","","","","","","","","","","","",""
"Crecimiento/decrecimiento 2013-2008. Renta  Bruta Per Cápita","","-547.17 €","","207.89 €","","","","","","","","","","","",""
"Pensión media mensual del Distrito HOMBRES 2014","","1,357.60 €","","1,207.31 €","","","","","","","","","","","",""
"Pensión media mensual del Distrito MUJERES 2014","","838.39 €","","820.95 €","","","","","","","","","","","",""
"1.4. INDICADORES DE DESEMPLEO","","","","","","","","","","","","","","","",""
"Tasa de Actividad Global (Junio 2016)","","60.2%","","","","","","","","","","","","","",""
"Hombres ","","64.3%","","","","","","","","","","","","","",""
"Mujeres","","56.6%","","","","","","","","","","","","","",""
"Número de Parados (Junio 2016)","100.0%","197,753","4.6%","9,008","","1,362","","3,349","","672","","875","","1,856","","471"
"Tasa Absoluta de Paro Registrado (Marzo 2016)","","10.2%","","9.7%","","9.3%","","11.1%","","9.1%","","7.8%","","9.2%","","9.4%"
"Tasa Absoluta de Paro Registrado MUJERES","","10.3%","","9.7%","","8.8%","","11.1%","","8.9%","","7.9%","","9.4%","","9.6%"
"De 16 a 24 años","","5.5%","","4.4%","","4.2%","","6.5%","","4.5%","","2.7%","","2.9%","","3.0%"
"De 25 a 44 años","","10.3%","","8.9%","","8.2%","","10.2%","","7.8%","","7.0%","","8.6%","","9.2%"
"De 45 a 64 años","","11.8%","","12.0%","","10.4%","","13.6%","","11.5%","","10.4%","","12.2%","","12.1%"
"Tasa Absoluta de Paro Registrado HOMBRES ","","10.1%","","9.7%","","9.9%","","11.1%","","9.3%","","7.6%","","8.9%","","9.3%"
"De 16 a 24 años","","6.0%","","4.8%","","4.2%","","7.2%","","2.2%","","2.4%","","3.9%","","3.4%"
"De 25 a 44 años","","9.2%","","8.0%","","8.7%","","8.9%","","7.5%","","6.8%","","7.1%","","7.3%"
"De 45 a 64 años","","12.4%","","13.6%","","12.6%","","16.0%","","12.8%","","9.9%","","13.1%","","13.6%"
"Parados de larga duración (Junio 2016)","44.1%","87,241","39.0%","3,509","","","","","","","","","","","",""
"Hombres","43.4%","37,859","52.1%","1,829","","","","","","","","","","","",""
"Mujeres ","56.6%","49,382","47.9%","1,680","","","","","","","","","","","",""
"Parados que SÍ perciben prestaciones (Junio 2016)","39.6%","78,215","40.8%","3,675","","","","","","","","","","","",""
"Hombres","49.7%","38,877","51.9%","1,908","","","","","","","","","","","",""
"Mujeres ","50.3%","39,338","48.1%","1,767","","","","","","","","","","","",""
"Parados que NO perciben prestaciones (Junio 2016)","60.4%","119,538","59.2%","5,333","","","","","","","","","","","",""
"Hombres","43.7%","52,224","52.6%","2,806","","","","","","","","","","","",""
"Mujeres ","56.3%","67,314","47.4%","2,527","","","","","","","","","","","",""
"1.5. EDUCACIÓN","","","","","","","","","","","","","","","",""
"1.5.1. Población en etapas educativas (01/01/2016)","100.0%","459,482","100.0%","11,777","100.0%","2,032","100.0%","4,225","100.0%","843","100.0%","1,557","100.0%","2,584","100.0%","536"
"0 a 2 años","19.1%","87,666","22.9%","2,700","21.1%","429","23.5%","993","24.3%","205","24.6%","383","21.5%","556","25.0%","134"
"Infantil (3 a 5 años)","19.3%","88,729","19.9%","2,349","20.0%","406","21.2%","894","17.7%","149","18.9%","294","19.6%","506","18.7%","100"
"Primaria (6 a 11 años)","37.9%","174,372","35.9%","4,230","35.6%","723","35.8%","1,513","34.2%","288","33.6%","523","37.7%","974","39.0%","209"
"Secundaria (12 a 15 años)","23.7%","108,715","21.2%","2,498","23.3%","474","19.5%","825","23.8%","201","22.9%","357","21.2%","548","17.4%","93"
"Etapas educativas. Total niños","51.1%","234,840","50.8%","5,985","48.6%","988","51.2%","2,165","52.4%","442","51.3%","799","51.4%","1,328","49.1%","263"
"0 a 2 años","19.1%","44,918","23.0%","1,375","22.6%","223","22.7%","492","23.5%","104","25.0%","200","22.1%","293","24.0%","63"
"3 a 5 años","19.3%","45,275","19.9%","1,189","19.8%","196","20.9%","453","17.6%","78","18.8%","150","20.0%","265","17.9%","47"
"6 a 11 años","38.0%","89,278","36.0%","2,152","35.2%","348","35.9%","778","34.6%","153","33.5%","268","37.7%","500","39.9%","105"
"12 a 15 años","23.6%","55,369","21.2%","1,269","22.4%","221","20.4%","442","24.2%","107","22.7%","181","20.3%","270","18.3%","48"
"Etapas educativas. Total niñas","48.9%","224,642","49.2%","5,792","51.4%","1,044","48.8%","2,060","47.6%","401","48.7%","758","48.6%","1,256","50.9%","273"
"0 a 2 años","19.0%","42,748","22.9%","1,325","19.7%","206","24.3%","501","25.2%","101","24.1%","183","20.9%","263","26.0%","71"
"3 a 5 años","19.3%","43,454","20.0%","1,160","20.1%","210","21.4%","441","17.7%","71","19.0%","144","19.2%","241","19.4%","53"
"6 a 11 años","37.9%","85,094","35.9%","2,078","35.9%","375","35.7%","735","33.7%","135","33.6%","255","37.7%","474","38.1%","104"
"12 a 15 años","23.7%","53,346","21.2%","1,229","24.2%","253","18.6%","383","23.4%","94","23.2%","176","22.1%","278","16.5%","45"
"Total alumnos del distrito (año escolar 2013/14)","100.0%","498,112","100.0%","15,700","","","","","","","","","","","",""
"1.5.2. Escolarización los alumnos por tipo de centro (año escolar 2013/14)","100.0%","498,112","100.0%","15,700","","","","","","","","","","","",""
"En centros PRIVADOS CONCERTADOS","43.6%","217,137","36.8%","5,782","","","","","","","","","","","",""
"En centros PRIVADOS SIN CONCIERTO","16.7%","83,095","10.5%","1,644","","","","","","","","","","","",""
"En centros PÚBLICOS","39.7%","197,880","52.7%","8,274","","","","","","","","","","","",""
"Total alumnos extranjeros","11.4%","56,847","19.6%","3,081","","","","","","","","","","","",""
"En centros PRIVADOS CONCERTADOS","3.7%","18,217","8.7%","1,359","","","","","","","","","","","",""
"En centros PRIVADOS SIN CONCIERTO","0.8%","3,959","0.7%","109","","","","","","","","","","","",""
"En centros PÚBLICOS","7.0%","34,671","10.3%","1,613","","","","","","","","","","","",""
"Total alumnos con necesidades de apoyo educativo","3.6%","17,982","5.2%","811","","","","","","","","","","","",""
"En centros PRIVADOS CONCERTADOS","1.8%","8,966","4.0%","629","","","","","","","","","","","",""
"En centros PRIVADOS SIN CONCIERTO","0.1%","463","0.0%","1","","","","","","","","","","","",""
"En centros PÚBLICOS","1.7%","8,553","1.2%","181","","","","","","","","","","","",""
"1.5.3. Nivel de estudios de la población ≥ 25 años (01/01/2016)","","","","","","","","","","","","","","","",""
"No sabe leer ni escribir, sin estudios o primaria incompleta","19.0%","464,588","13.4%","15,093","12.1%","2,301","18.1%","6,826","10.6%","971","8.9%","1,226","11.8%","3,099","10.6%","670"
"Bachiller Elemental, Graduado Escolar, ESO,Formación profesional primer grado","26.4%","647,982","20.0%","22,416","18.6%","3,520","22.9%","8,644","16.9%","1,543","16.3%","2,260","19.7%","5,172","20.2%","1,277"
"Formación profesional 2º grado, Bachiller Superior o BUP","19.1%","467,902","18.7%","21,041","19.3%","3,654","18.1%","6,835","19.2%","1,755","18.6%","2,570","18.9%","4,947","20.2%","1,280"
"Titulados medios, Diplomados, Arquitecto o Ingeniero Técnico","9.9%","242,601","10.5%","11,750","11.1%","2,107","9.4%","3,545","10.6%","973","10.6%","1,466","11.2%","2,945","11.3%","714"
"Estudios superiores, licenciado, Arquitecto o Ingeniero, estudios superiores no universitarios, doctorado, estudios postgraduados","25.4%","622,872","37.3%","41,845","38.8%","7,362","31.5%","11,893","42.6%","3,890","45.5%","6,289","38.2%","10,025","37.7%","2,386"
"Nivel de estudios / Desconocido y No consta","0.2%","4,145","0.1%","133","0.1%","23","0.1%","49","0.1%","5","0.1%","12","0.1%","37","0.1%","7"
"1.6. SALUD","","","","","","","","","","","","","","","",""
"1.6.1. Discapacidad reconocida","","","","","","","","","","","","","","","",""
"Nº de personas con grado de discapacidad reconocido 2013","5.5%","173,316","8.4%","11,125","","","","","","","","","","","",""
"Hombres","48.4%","83,910","50.2%","5,590","","","","","","","","","","","",""
"Mujeres","51.6%","89,406","49.8%","5,535","","","","","","","","","","","",""
"Proporción por cada 1.000 habitantes 2013","54.74","","82.85","","","","","","","","","","","","",""
"Hombres","56.9","","84.48","","","","","","","","","","","","",""
"Mujeres","52.8","","81.28","","","","","","","","","","","","",""
"Mujeres por cada 100 hombres 2013 (Feminización de la discapacidad reconocida)","106.5","","99.02","","","","","","","","","","","","",""
"1.6.2. Incidencia de enfermedades y afecciones","","","","","","","","","","","","","","","",""
"Proporción incidencia hipertensión arterial","","19.2%","","","","","","","","","","","","","",""
"Incidencia hipertensión arterial HOMBRES","","18.8%","","","","","","","","","","","","","",""
"Incidencia hipertensión arterial MUJERES","","19.5%","","","","","","","","","","","","","",""
"Proporción incidencia hipercolesterolemia","","21.1%","","","","","","","","","","","","","",""
"Incidencia hipercoleresteronemia HOMBRES","","23.0%","","","","","","","","","","","","","",""
"Incidencia hipercoleresteronemia MUJERES","","19.8%","","","","","","","","","","","","","",""
"Proporción incidencia alergías","","21.1%","","","","","","","","","","","","","",""
"Incidencia alergia HOMBRES","","20.2%","","","","","","","","","","","","","",""
"Incidencia alergia MUJERES","","21.9%","","","","","","","","","","","","","",""
"Proporción incidencia ansiedad","","14.5%","","","","","","","","","","","","","",""
"Incidencia ansiedad HOMBRES","","8.3%","","","","","","","","","","","","","",""
"Incidencia ansiedad MUJERES","","19.8%","","","","","","","","","","","","","",""
"Proporción incidencia depresión","","10.0%","","","","","","","","","","","","","",""
"Incidencia depresión HOMBRES","","6.7%","","","","","","","","","","","","","",""
"Incidencia depresión MUJERES","","12.6%","","","","","","","","","","","","","",""
"1.7. CALIDAD DE VIDA  (Estudio >16 años. 2014. Indicador sintético de Satisfacción >50; Insatisfacción<50)","","","","","","","","","","","","","","","",""
"Satisfacción de vivir en Madrid","74.7","","74.4","","","","","","","","","","","","",""
"Satisfacción de vivir en su barrio ","71.5","","70.8","","","","","","","","","","","","",""
"Calidad de vida actual en Madrid","65.7","","67","","","","","","","","","","","","",""
"Calidad de vida actual en su barrio ","66.4","","66.9","","","","","","","","","","","","",""
"Expectativa sobre calidad de vida en Madrid dentro de 5 años","54.2","","47.8","","","","","","","","","","","","",""
"Percepción de seguridad en el barrio/Madrid ","","","","","","","","","","","","","","","",""
"Como se siente de seguro por el día en Madrid","71.4","","76.9","","","","","","","","","","","","",""
"Como se siente de seguro por el día en  barrio  ","73.3","","74.4","","","","","","","","","","","","",""
"Como se siente de seguro por la noche en Madrid ","51.5","","65.6","","","","","","","","","","","","",""
"Como se siente de seguro por la noche en su barrio  ","58.1","","64.6","","","","","","","","","","","","",""
"¿Ha sido víctima de algún robo, atraco o agresión en el último año en Madrid? (% de Sí)","12.5%","","22.5%","","","","","","","","","","","","",""
"¿Conoce los Planes de Barrio de Madrid?","7.0%","","5.0%","","","","","","","","","","","","",""
"Frecuencia con la que se producen en su distrito (0= Ninguna - 10= Mucha)","","","","","","","","","","","","","","","",""
"Residuos por excrementos de animales domésticos","6.7","","6.00","","","","","","","","","","","","",""
"Molestias por ruido","4.1","","5.80","","","","","","","","","","","","",""
"Consumo por menudeo de drogas","4.5","","5.20","","","","","","","","","","","","",""
"Grafitis","4.7","","5.10","","","","","","","","","","","","",""
"1.8. VIVIENDA","","","","","","","","","","","","","","","",""
"1.8.1. PLAN MAD-RE. Áreas Preferentes de Impulso a la Regeneración Urbana (APIRU)","","","","","","","","","","","","","","","",""
"Nº de edificios","","62,092","2.5%","1,579","","","","","","","","","","","",""
"Nº de viviendas","","560,346","3.6%","20,364","","","","","","","","","","","",""
"1.8.2. Estado de las viviendas","","","","","","","","","","","","","","","",""
"Nº Total de viviendas (Censo Edificios y Viviendas 2011)","100.0%","1,530,955","5.7%","86,795","","","","","","","","","","","",""
"Viviendas anteriores a 1980","69.4%","1,061,825","85.7%","74,370","","","","","","","","","","","",""
"Estado ruinoso","0.2%","3,445","0.4%","330","","","","","","","","","","","",""
"Estado malo","0.8%","12,705","2.0%","1,725","","","","","","","","","","","",""
"Estado deficiente","4.4%","66,775","9.1%","7,895","","","","","","","","","","","",""
"Estado bueno","92.8%","1,420,265","86.4%","74,970","","","","","","","","","","","",""
"No consta","1.8%","27,770","2.2%","1,875","","","","","","","","","","","",""
"Valor catastral revisado de los bienes inmuebles (personas físicas y jurídicas) 2016","","","","","","192,389 €","","114,303 €","","371,804 €","","279,697 €","","175,700 €","","465,325 €"
"Valor catastral medio de las unidades urbanas 2015","","  132,806 € ","160%","  212,813.9 € ","","","","","","","","","","","",""
"Superficie media de la vivienda (m2) en 2015","","83.61","","76.75","","","","","","","","","","","",""
"Duración media del crédito (meses) en transacción de vivienda 2015","","291","","244","","","","","","","","","","","",""
"1.8.3. Tipología de las viviendas ","","","","","","","","","","","","","","","",""
"Nº Total de viviendas (Censo Edificios y Viviendas 2011)","100%","1,378,931","100%","91,186","100%","14,983","100%","28,818","100%","7,802","100%","11,687","100%","22,321","100%","5,575"
"Principal","78.3%","1,080,306","61.9%","56,424","65.9%","9,881","65.9%","18,991","57.3%","4,468","57.4%","6,707","59.6%","13,312","55.0%","3,065"
"Secundaria","7.7%","106,192","12.2%","11,144","11.6%","1,743","9.9%","2,858","11.5%","896","18.6%","2,173","11.8%","2,642","14.9%","832"
